Date,Open,High,Low,Close
15-Mar-11,12151.02,12242.59,12025.7,12176.67
16-Mar-11,12230.1,12479.42,12230.1,12438.34
17-Mar-11,12362.63,12516.29,12306.3,12340.53
18-Mar-11,12403.31,12407.25,12165.73,12184.29
21-Mar-11,12249.4,12278.69,12115.81,12189.54
22-Mar-11,12250.89,12292.44,12196.58,12237.16
23-Mar-11,12213.98,12477.65,12213.98,12463.22
24-Mar-11,12498.46,12637.11,12498.46,12583.59
25-Mar-11,12652.3,12973.17,12652.3,12926.07
28-Mar-11,12899.15,13156.93,12899.15,13081.84
29-Mar-11,13089.18,13244.42,13075.67,13173.07
30-Mar-11,13217.81,13433.18,13217.81,13393.32
31-Mar-11,13442.75,13553.18,13162.27,13299.77
01-Apr-11,13297.01,13343.17,13129.62,13189.85
04-Apr-11,13203.46,13455.11,13203.46,13424.42
05-Apr-11,13464.66,13484.48,13283.49,13409.77
06-Apr-11,13409.4,13464.74,13293.38,13351.89
07-Apr-11,13356.78,13462.96,13270.23,13385.33
08-Apr-11,13389.67,13502.79,13251.47,13299.17
11-Apr-11,13222.35,13251.04,13162.91,13203.77
13-Apr-11,13148.04,13526.61,13105.43,13510.64
15-Apr-11,13453.35,13626.19,13352.09,13382.96
18-Apr-11,13427.86,13568.8,13156.45,13172.89
19-Apr-11,13206.12,13278.61,13116.19,13238.35
20-Apr-11,13341.16,13474.58,13263.01,13457.61
21-Apr-11,13508.86,13591.48,13500.6,13545.13
25-Apr-11,13509.07,13656.63,13509.07,13538.43
26-Apr-11,13547.16,13572.69,13346.89,13519.64
27-Apr-11,13578.98,13598.58,13373.83,13422.74
28-Apr-11,13506.65,13506.65,13287.65,13311.2
29-Apr-11,13290.29,13354.48,12997.49,13076.97
02-May-11,13108.5,13146.15,12768.01,12804.48
03-May-11,12785.75,12931.82,12353.8,12406.67
04-May-11,12435.64,12530.2,12293.11,12423.09
05-May-11,12434.73,12511.69,12167.51,12217.28
06-May-11,12262.01,12697.72,12262.01,12670.76
09-May-11,12762.43,12770.99,12490.55,12624.37
10-May-11,12597.86,12647.57,12478.54,12544.54
11-May-11,12577.64,12655.15,12444.86,12604.38
12-May-11,12576.15,12637.68,12410.17,12429.07
13-May-11,12440.45,12740.72,12366.87,12590.17
16-May-11,12527.91,12527.91,12406.42,12441.84
17-May-11,12468.15,12516.64,12111.1,12162.8
18-May-11,12167.47,12191.55,12026.25,12079.45
