Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2012,403.00,407.40,396.10,398.00,402.219124104832562084,651973,12106,262236009.00,92848,14.24,11.30,-5.00
31-May-2012,406.00,407.00,400.00,402.85,403.722300523674714165,658424,12804,265820452.00,147603,22.42,7.00,-3.15
30-May-2012,412.10,414.50,408.10,410.25,411.283169612595068394,510422,9322,209927978.00,67517,13.23,6.40,-1.85
29-May-2012,413.15,418.20,410.70,415.80,415.277526000617569446,741617,14292,307976873.00,115602,15.59,7.50,2.65
28-May-2012,409.90,415.40,408.20,411.75,412.082957051681638826,632062,12416,260461978.00,123365,19.52,7.20,1.85
25-May-2012,397.95,409.80,396.00,408.25,405.271884477054728815,943397,18287,382332280.00,144039,15.27,13.80,10.30
24-May-2012,397.75,402.40,391.50,398.55,397.249957687264882235,886258,16720,352065953.00,78566,8.86,10.90,0.80
23-May-2012,397.90,401.40,394.10,396.15,397.620465354742996771,916720,15174,364506633.00,113702,12.40,7.30,-1.75
22-May-2012,407.50,409.90,397.10,399.35,404.535203751938365878,1056947,21560,427572270.00,132205,12.51,12.80,-8.15
21-May-2012,394.05,405.95,389.00,402.20,397.347805569901662895,2288658,44000,909393234.00,266766,11.66,16.95,8.15
18-May-2012,399.80,402.00,390.65,399.85,397.143659414641400102,1667764,31382,662341898.00,230623,13.83,11.35,0.05
17-May-2012,403.50,409.80,402.00,405.85,405.889167435265054709,984476,18319,399588144.00,204026,20.72,7.80,2.35
16-May-2012,410.00,410.90,399.00,401.55,404.181011215637129772,1188965,23227,480557076.00,222671,18.73,11.90,-8.45
15-May-2012,406.25,419.00,404.30,417.80,413.652655777572614999,977002,18658,404139472.00,92173,9.43,14.70,11.55
14-May-2012,410.00,417.40,402.75,408.05,409.402632840237018479,890901,16746,364737215.00,175804,19.73,14.65,-1.95
11-May-2012,411.50,419.80,409.00,411.75,413.848630222551716087,976582,19433,404157123.00,165563,16.95,10.80,0.25
10-May-2012,418.75,424.90,413.70,415.35,419.422506944391220231,913327,18548,383069900.00,130175,14.25,11.20,-3.40
9-May-2012,422.95,432.50,414.55,417.35,423.464968443074609892,1053493,21433,446117380.00,183704,17.44,17.95,-5.60
8-May-2012,445.40,446.00,424.00,427.35,434.663999839085199358,795452,16548,345754348.00,155341,19.53,22.00,-18.05
7-May-2012,420.35,443.70,420.35,441.60,430.182935769896193771,924800,18833,397833179.00,96512,10.44,23.35,21.25
4-May-2012,444.30,445.80,430.40,433.55,436.430189751857644103,868977,17661,379247797.00,191880,22.08,15.40,-10.75
3-May-2012,458.00,459.85,446.45,448.30,451.908958246644222067,687322,13306,310606969.00,132415,19.27,13.40,-9.70
2-May-2012,465.00,469.70,460.00,462.15,464.212590853881894773,414952,8260,192625943.00,50337,12.13,9.70,-2.85
30-April-2012,463.00,469.30,460.40,463.65,464.396538677049095099,519339,9942,241179234.00,76780,14.78,8.90,0.65
28-April-2012,462.10,464.45,461.05,463.15,462.753633802816901408,35500,886,16427754.00,7495,21.11,3.40,1.05
27-April-2012,466.50,468.90,455.30,461.85,461.312190117968883569,631692,12717,291407220.00,53079,8.40,13.60,-4.65
26-April-2012,467.00,473.50,463.40,465.90,468.988980996102415785,669389,13364,313936065.00,66227,9.89,10.10,-1.10
25-April-2012,471.40,474.90,460.10,465.90,466.762727144428330883,821944,15275,383652823.00,79319,9.65,14.80,-5.50
24-April-2012,465.00,470.80,460.05,468.70,465.699267004727771846,629472,12068,293144649.00,59211,9.41,10.75,3.70
23-April-2012,470.90,479.40,460.00,462.95,471.962584682215441898,1160220,20757,547580430.00,216389,18.65,19.40,-7.95
20-April-2012,466.00,474.40,464.00,470.40,469.979783375830877600,1103201,20423,518482167.00,200320,18.16,10.40,4.40
19-April-2012,466.00,469.50,461.80,467.00,465.709948071604283560,516673,9970,240619756.00,83871,16.23,7.70,1.00
18-April-2012,465.00,470.75,462.05,463.70,466.784760814607407735,632501,13758,295241828.00,97211,15.37,8.70,-1.30
17-April-2012,456.00,462.25,451.50,461.30,458.024064125763401945,707360,13510,323987902.00,109386,15.46,10.75,5.30
16-April-2012,448.50,455.80,445.10,454.10,451.199852351989112129,640713,13100,289089611.00,62632,9.78,10.70,5.60
13-April-2012,457.00,462.00,447.25,449.75,454.831162670141630125,841064,16165,382542117.00,119093,14.16,14.75,-7.25
12-April-2012,451.05,455.90,448.10,452.60,452.796086008453027451,817222,14992,370034923.00,82045,10.04,7.80,1.55
11-April-2012,448.00,454.90,444.10,447.05,448.320873891082288420,1048094,18823,469882418.00,109127,10.41,10.80,-0.95
10-April-2012,460.40,460.40,449.10,453.15,453.677830644561742621,914668,17514,414964594.00,193698,21.18,11.30,-7.25
9-April-2012,472.90,472.90,455.60,459.45,462.879312074924740773,717520,12787,332125164.00,197712,27.55,17.30,-13.45
4-April-2012,475.50,478.90,471.25,474.70,475.005118445298694388,661529,12787,314229661.00,48720,7.36,7.65,-0.80
3-April-2012,476.00,482.00,474.45,477.95,478.433629972522712082,807940,16459,386545667.00,123327,15.26,7.55,1.95
2-April-2012,470.40,477.40,468.10,471.85,473.043617572682865534,827671,16588,391524484.00,116889,14.12,9.30,1.45
30-March-2012,453.75,473.20,453.10,470.40,465.723179875863747616,1183216,22393,551051118.00,254312,21.49,20.10,16.65
29-March-2012,450.25,453.90,445.60,452.15,450.383539091761121310,854643,16943,384917139.00,59674,6.98,8.30,1.90
28-March-2012,445.00,457.60,441.25,455.50,451.900215881007655926,1388728,25544,627566483.00,252876,18.21,16.35,10.50
27-March-2012,448.70,450.70,439.00,446.50,445.012590220121548832,1157724,21466,515201756.00,141063,12.18,11.70,-2.20
26-March-2012,449.90,451.60,438.00,440.45,444.677072397696234323,1301174,23496,578602245.00,149061,11.46,13.60,-9.45
23-March-2012,450.00,455.50,443.00,449.00,449.820929055706203957,1410938,26973,634669442.00,95463,6.77,12.50,-1.00
22-March-2012,469.30,475.70,447.05,450.40,464.916557882704278246,1885235,34391,876476967.00,250380,13.28,28.65,-18.90
21-March-2012,453.00,474.50,448.25,471.85,461.741281749662353504,1147650,23175,529917382.00,213079,18.57,26.25,18.85
20-March-2012,449.20,456.50,445.25,453.70,452.119336875865602261,1013023,19408,458007287.00,82165,8.11,11.25,4.50
19-March-2012,454.90,463.05,445.05,447.90,453.961109363825148854,928424,18347,421468389.00,110477,11.90,18.00,-7.00
16-March-2012,462.00,472.80,449.05,454.35,464.269221185729724629,1356498,26579,629780270.00,139412,10.28,23.75,-7.65
15-March-2012,463.00,466.50,455.05,462.30,461.382278569600041253,1085962,20897,501043622.00,74472,6.86,11.45,-0.70
14-March-2012,474.50,476.00,460.10,462.00,466.701805143704018700,790131,20017,368755564.00,119808,15.16,15.90,-12.50
13-March-2012,460.30,469.40,460.00,467.15,465.759093294275713733,867095,18415,403857381.00,215012,24.80,9.40,6.85
12-March-2012,461.00,463.25,450.00,456.00,455.743620345257293651,873088,17894,397904286.00,107728,12.34,13.25,-5.00
9-March-2012,432.90,456.45,432.50,453.70,446.262393718701098436,1315142,27279,586898417.00,337442,25.66,23.95,20.80
7-March-2012,423.00,430.45,378.65,425.05,424.057893988535199970,1568453,33289,665114876.00,151983,9.69,51.80,2.05
6-March-2012,447.90,456.70,424.20,426.20,440.774002136354282018,1836774,36722,809602227.00,388397,21.15,32.50,-21.70
5-March-2012,464.00,465.00,448.60,450.55,455.635461712389418571,814219,16448,370987050.00,200035,24.57,16.40,-13.45
3-March-2012,466.50,469.80,466.00,466.95,467.521907608480023276,75613,1412,35350734.00,13335,17.64,3.80,0.45
2-March-2012,466.90,472.00,460.00,465.95,466.912233617099143868,868909,16980,405704242.00,101134,11.64,12.00,-0.95
1-March-2012,472.00,472.00,457.10,462.15,464.120095632104888408,977496,19697,453675537.00,116563,11.92,14.90,-9.85
29-February-2012,466.00,474.90,459.15,471.75,468.309767956561857959,1191027,23358,557769578.00,158286,13.29,15.75,5.75
28-February-2012,447.75,461.40,446.60,458.45,456.055074194626965161,936119,18462,426921820.00,134583,14.38,14.80,10.70
27-February-2012,476.75,477.80,439.05,442.25,453.460885453583411006,1513823,28284,686459518.00,340562,22.50,38.75,-34.50
24-February-2012,473.80,481.00,466.50,475.70,474.186528169472910209,1611585,30413,764191896.00,294082,18.25,14.50,1.90
23-February-2012,472.25,478.60,460.60,471.50,469.924093242179196379,1256041,23920,590243928.00,185237,14.75,18.00,-0.75
22-February-2012,492.90,496.70,468.00,470.45,482.313780437575112421,1063406,19773,512895368.00,182501,17.16,28.70,-22.45
21-February-2012,482.00,500.90,480.15,491.35,493.563411320933865910,1853628,30971,914882959.00,393549,21.23,20.75,9.35
17-February-2012,484.50,489.00,470.85,478.00,480.997450817671466927,1024250,20266,492661639.00,147557,14.41,18.15,-6.50
16-February-2012,492.50,492.70,474.75,479.15,482.473884627081598371,1407332,23199,679000937.00,335371,23.83,17.95,-13.35
15-February-2012,492.00,497.00,487.00,495.15,493.408924954050656492,1363458,26799,672742346.00,281259,20.63,10.00,3.15
14-February-2012,483.70,490.80,481.10,487.55,486.609165203364514877,1280779,26209,623238800.00,120678,9.42,9.70,3.85
13-February-2012,476.70,488.90,466.50,485.10,477.817209478775576243,1810909,33583,865283485.00,184911,10.21,22.40,8.40
10-February-2012,435.00,478.00,432.00,475.00,467.379042507029943467,5180696,92147,2421348736.00,792830,15.30,46.00,40.00
9-February-2012,448.00,454.00,440.10,451.10,447.387369084901202342,2270651,46341,1015860577.00,297747,13.11,13.90,3.10
8-February-2012,454.40,461.95,442.30,450.65,451.581571916157581837,2244878,41760,1013745536.00,292967,13.05,19.65,-3.75
7-February-2012,469.50,472.00,450.25,452.35,461.291588809370892636,1306343,27531,602605038.00,210762,16.13,21.75,-17.15
6-February-2012,474.80,477.75,463.35,467.80,471.071971333813474174,1124670,21759,529800514.00,191276,17.01,14.40,-7.00
3-February-2012,472.65,473.55,460.60,467.25,465.793176429001432792,1114607,22115,519176335.00,154182,13.83,12.95,-5.40
2-February-2012,475.90,479.65,463.75,474.65,473.321774608875712802,1499012,29996,709515020.00,222266,14.83,15.90,-1.25
1-February-2012,452.00,472.30,450.85,469.55,461.394962914224189496,1671800,29660,771360099.00,303594,18.16,21.45,17.55
31-January-2012,443.50,453.50,432.05,451.00,442.911928400596279614,1744819,30352,772801148.00,218420,12.52,21.45,7.50
