Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-June-2011,2359.00,2359.00,2270.00,2303.50,2304.325638079320310595,28719,1726,66177928.00,6910,24.06,89.00,-55.50
17-June-2011,2355.00,2366.10,2333.05,2350.95,2348.245878625005013838,24931,1631,58544118.00,9197,36.89,33.05,-4.05
16-June-2011,2364.00,2372.00,2337.25,2342.90,2354.578919571450128263,26508,1504,62415178.00,5139,19.39,34.75,-21.10
15-June-2011,2383.00,2394.80,2363.20,2372.40,2381.029540618350231568,23967,1409,57066135.00,7298,30.45,31.60,-10.60
14-June-2011,2365.00,2399.00,2365.00,2381.75,2385.701455342902711323,20064,1220,47866714.00,5126,25.55,34.00,16.75
13-June-2011,2358.00,2378.00,2345.00,2372.30,2367.257944460349269968,31437,1593,74419488.00,12896,41.02,33.00,14.30
10-June-2011,2366.50,2376.80,2330.80,2359.10,2354.830093592512598992,19446,1560,45792026.00,2677,13.77,46.00,-7.40
9-June-2011,2355.00,2371.00,2342.10,2360.80,2359.227449206528704436,26529,1498,62587945.00,4243,15.99,28.90,5.80
8-June-2011,2370.00,2371.00,2350.00,2355.20,2362.423367264711058418,107963,1907,255054314.00,87220,80.79,21.00,-14.80
7-June-2011,2372.00,2390.45,2363.00,2379.80,2376.265542012150853998,52342,1573,124378491.00,25870,49.42,27.45,7.80
6-June-2011,2357.00,2380.00,2348.40,2375.50,2366.382940108892921960,36917,1697,87359759.00,18341,49.68,31.60,18.50
3-June-2011,2351.00,2373.00,2345.00,2349.95,2359.106248157972295903,33930,1572,80044475.00,9138,26.93,28.00,-1.05
2-June-2011,2354.00,2364.90,2352.20,2358.95,2358.347324765290310819,21942,1523,51746857.00,3568,16.26,12.70,4.95
1-June-2011,2384.10,2404.80,2369.20,2389.30,2392.648878153248499638,40157,2643,96081601.00,5104,12.71,35.60,5.20
